date,source,document_type,title,description,keywords,ref_no,url,filesize,source_id
2009-12-10,Central Bank of Nigeria,circulars,Closure of Foreign Exchange Market for 2009,,"Consideration, Christmas and New Year holidays,Authorised Dealers,Bureaux de Change Operatiors,informed forex closed Friday 18th December, reopen Monday, 4th January, 2010, Salako, H.A, Trade & Exchange Department.",TED/FEM/FPC/GEN/01/174/09,https://www.cbn.gov.ng/out/2009/circulars/ted/closure of foreign exchange market for 2009.pdf,19527,699
2009-12-11,Central Bank of Nigeria,circulars,Circular on Maximum Limit on Cheque Payment,,"Circular on Maximum Limit on Cheque Payment,Circular,Maximum Limit, Cheque Payment,Maximum,Limit,Cheque,Payment,CBN,Central Bank of Nigeria,Nigeria,Banking Operations Department,BOD,Abuja,FCT,Federal Capital Territory,N10 million,1st January, 2010,CIFTS,RTGS,NEFT,DMB",BOD/DIR/CIR/GEN/01/106,https://www.cbn.gov.ng/out/2009/circulars/bod/circular on maximum limit on cheque payment0001.pdf,292391,698
2009-12-14,Central Bank of Nigeria,circulars,Circular on Harmonisation of Accounts,,"Circular on Harmonisation of Accounts,Circular,Harmonisation,Accounts,BOD,Banking Operations Department,CBN,Central Bank of Ngeria,Abuja,Fedreal Capital Territory,FCT,Nigeria,Current Account,RTGS,Settlement Account,CRR,Cash Reserve Requirement",BOD/DIR/CIR/GEN/01/101,https://www.cbn.gov.ng/out/2009/circulars/bod/circular on harminisation of accounts.pdf,262104,697
2009-12-14,Central Bank of Nigeria,circulars,Foreign Exchange Market (WDAS) Auction No. 44/2009,,"Further to our circular ref. TED/FEM/FPC/01/110/09 of 8th July, 2009. CBN intervenes with offer of USD200.00 million (Two hundred million United States Dollars) for sale at Foreign Exchange Market of Monday 14th december, 2009
Authorised dealers are invited to submit their bid requests through reuters at CBN address stipulated in the circular under reference between 9.00a.m. and 10.30 a.m. 
They are reminded that their current account must be adequately funded and should remain funded at the time of disbursement failin which the bid will be disqualified.

Signe by      Batari Musa
             Ag. Director
           Trade & Exchange Department",Ted-Fem-Fpc-Gen-01-175-09,https://www.cbn.gov.ng/out/2009/circulars/ted/ted-fem-fpc-gen-01-175-09.pdf,89342,696
2009-12-16,Central Bank of Nigeria,circulars,Foreign Exchange Market (WDAS) Auction No. 45/2009,,"Further to our circular Ref TED/FEM/FPC/01/110/09 of 8th July, 2009 the CBN intervenes with an offers of USD300.00 Million (Three hundred million United States Dollars) for sale at Foreign Exchange Auction of Wednesday 16th December, 2009.
Authorised were invited to submit their bid request through reuters dealilng 3000 Xtra at th address stipulated in the circular between 9.00 a.m. and 10.00 a.m.
They are reminded that their accounts must be adequately funded and remain same at the time of disbursement failing which the  bids will be disualified ",Ted-Fem-Fpc-Gen-01-176-09,https://www.cbn.gov.ng/out/2009/circulars/ted/ted-fem-fpc-gen-01-176-09.pdf,89189,695
2010-01-04,Central Bank of Nigeria,circulars,Circular on Implementation of Maximum Cap for Cheque Payments,,"CBN,BOD,MAXIMUM,CAP,CHEQUE,BANKDRAFT,MANAGERSCHEQUE,DIVIDEND,INTEREST,WARRANTS,N10MILLION",BOD/DIR/CIR/2010/GEN/01/107,https://www.cbn.gov.ng/out/2010/circulars/bod/implementation to issues0001.pdf,49937,693
2010-01-04,Central Bank of Nigeria,circulars,Foreign Exchange Market (WDAS) Auction no. 01/2010,,"Furthe to circular ref: TED/FEM/FPC/01/110/09 of 8th July, 2009. Offer USD200.00 Million for sale foreign exchange market on 4th January 2010. Authorised dealers are invited to submit bids. Trade & Exchange Dept. Batari Musa",TED/FEM/FPC/GEN/01/001/10,https://www.cbn.gov.ng/out/2010/circulars/ted/ted.fem.fpc.01.001.10doc.pdf,69399,694
2010-01-06,Central Bank of Nigeria,circulars,Foreign Exchange Market (WDAS) Auction No. 02/2010,,"CBN offers US$100.00,million Authorised Dealers,Batari Musa, Trade & Exchange Department",TED.FEM.FPC.GEN.01.02.10,https://www.cbn.gov.ng/out/2010/circulars/ted/foreign exchange market (wdas) auction no. 02_2010.pdf,69698,691
2010-01-06,Central Bank of Nigeria,circulars,Re: Publication Of Interest Rates ,,"bank,banks,interest,rates,deposits,loans,centralbankofnigeria,cbn,returns,bankingsupervisiondepartment,information,stakeholders,banking,supervision,soludo,month",BSD/DIR/GEN/CIR/04/001				,https://www.cbn.gov.ng/out/2010/circulars/bsd/Bank_rates.pdf,60KB,692
2010-01-11,Central Bank of Nigeria,circulars,Foreign Exchange Market (WDAS) Auction No. 03/2010,,"CBN offers US$150.00, Authorised Dealers, Batari Musa, Trade & Exchange Department",TED.FEM.FPC.GEN.01.003.10,https://www.cbn.gov.ng/out/2010/circulars/ted/foreign exchange market (wdas) auction no. 03_2010.pdf,69570,690
