date,source,document_type,title,url
2009-01-21,Debt Management Office Nigeria,fgn_bond_auction_result,Summary of Auction Result for January 2009,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/423-summary-of-auction-result-for-january-2009/file
2009-02-11,Debt Management Office Nigeria,fgn_bond_auction_result,Summary of Auction Result for February 2009,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/421-summary-of-auction-result-for-february-2009/file
2009-03-04,Debt Management Office Nigeria,fgn_bond_auction_result,Summary of Auction Result for March 2009,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/425-summary-of-auction-result-for-march-2009/file
2009-04-14,Debt Management Office Nigeria,fgn_bond_auction_result,Summary of Auction Result for April 2009,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/418-summary-of-auction-result-for-april-2009/file
2009-06-22,Debt Management Office Nigeria,fgn_bond_auction_result,Auction Result June 2009,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/416-auction-result-june-2009/file
2009-07-07,Debt Management Office Nigeria,fgn_bond_auction_result,Summary of July 2009 FGN Bonds Auction (1),https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/436-summary-of-july-2009-fgn-bonds-auction-1/file
2009-07-28,Debt Management Office Nigeria,fgn_bond_auction_result,Summary of July 2009 FGN Bonds Auction,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/437-summary-of-july-2009-fgn-bonds-auction/file
2009-08-05,Debt Management Office Nigeria,fgn_bond_auction_result,Summary of August 2009 FGN Bonds Auction,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/435-summary-of-august-2009-fgn-bonds-auction/file
2009-09-02,Debt Management Office Nigeria,fgn_bond_auction_result,Summary of Auction Result for September 09,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/431-summary-of-auction-result-for-september-09/file
2009-10-02,Debt Management Office Nigeria,fgn_bond_auction_result,Summary of Auction Result for October 2009,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/430-summary-of-auction-result-for-october-2009/file
2009-11-12,Debt Management Office Nigeria,fgn_bond_auction_result,Summary of Auction Result for November 2009,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/428-summary-of-auction-result-for-november-2009/file
2010-01-12,Debt Management Office Nigeria,fgn_bond_auction_result,Summary of January 2010 FGN Bonds Auction,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/398-summary-of-january-2010-fgn-bonds-auction/file
2010-02-09,Debt Management Office Nigeria,fgn_bond_auction_result,Summary of February 2010 FGN Bonds Auction,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/397-summary-of-february-2010-fgn-bonds-auction/file
2010-03-16,Debt Management Office Nigeria,fgn_bond_auction_result,Summary of March 2010 FGN Bonds Auction,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/401-summary-of-march-2010-fgn-bonds-auction-1/file
2010-04-11,Debt Management Office Nigeria,fgn_bond_auction_result,Summary of April 2010 FGN Bonds Auction,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/394-summary-of-april-2010-fgn-bonds-auction/file
2010-06-16,Debt Management Office Nigeria,fgn_bond_auction_result,Summary of Auction Result for June 2010 (1),https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/410-summary-of-auction-result-for-june-2010-1/file
2010-07-14,Debt Management Office Nigeria,fgn_bond_auction_result,Summary of July 2010 FGN Bonds Auction,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/415-summary-of-july-2010-fgn-bonds-auction/file
2010-08-16,Debt Management Office Nigeria,fgn_bond_auction_result,Summary of August 2010 FGN Bonds Auction,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/396-summary-of-august-2010-fgn-bonds-auction/file
2010-09-14,Debt Management Office Nigeria,fgn_bond_auction_result,Summary of September 2010 FGN Bonds Auction,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/403-summary-of-september-2010-fgn-bonds-auction/file
2010-10-14,Debt Management Office Nigeria,fgn_bond_auction_result,Summary of October 2010 FGN Bonds Auction,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/402-summary-of-october-2010-fgn-bonds-auction/file
2010-11-23,Debt Management Office Nigeria,fgn_bond_auction_result,Summary of Auction Result for November 2010,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/413-summary-of-auction-result-for-november-2010/file
2010-12-07,Debt Management Office Nigeria,fgn_bond_auction_result,Summary of Auction Result for December 2010,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/407-summary-of-auction-result-for-december-2010/file
2010-12-13,Debt Management Office Nigeria,fgn_bond_auction_result,Summary of Auction Result for December 2010,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/411-summary-of-auction-result-for-december-2010-1/file
2011-01-09,Debt Management Office Nigeria,fgn_bond_auction_result,Summary of Auction Result for January 2011,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/395-summary-of-auction-result-for-january-2011/file
2011-02-17,Debt Management Office Nigeria,fgn_bond_auction_result,Summary of Auction Result for February 2011,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/408-summary-of-auction-result-for-february-2011/file
2011-03-01,Debt Management Office Nigeria,fgn_bond_auction_result,Summary of Auction Result for March 2011,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/412-summary-of-auction-result-for-march-2011/file
2011-04-13,Debt Management Office Nigeria,fgn_bond_auction_result,Summary of Auction Result for April 2011,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/405-summary-of-auction-result-for-april-2011/file
2011-05-29,Debt Management Office Nigeria,fgn_bond_auction_result,May 2011 Auction Summary Result,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/393-may-2011-auction-summary-result/file
2011-06-15,Debt Management Office Nigeria,fgn_bond_auction_result,Summary of June 2011 FGN Bonds Auction,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/399-summary-of-june-2011-fgn-bonds-auction/file
2011-07-18,Debt Management Office Nigeria,fgn_bond_auction_result,July 2011 FGN Bond Auction Result,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/392-july-2011-fgn-bond-auction-result/file
2011-08-23,Debt Management Office Nigeria,fgn_bond_auction_result,Summary of Auction Result for August 2011[1],https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/406-summary-of-auction-result-for-august-2011-1/file
2011-09-19,Debt Management Office Nigeria,fgn_bond_auction_result,Summary of Auction Result for September 2011[1],https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/414-summary-of-auction-result-for-september-2011-1-1/file
