date,amtOffered,auction,auctionDate,auctionNo,id,maturityDate,netType,netValue,rangeBid,rate,rateDescription,securityType,successfulBidRates,tenor,totalAmtRepaid,totalSubscription,totalSuccessful,trueYield,week
2006-07-07,,OMO,July-07-2006,OMO/S/101/2006/364,682,July-06-2007,Sales,6660,12.7500 - 13.0000,12.9,Issue,NTB,12.7500 - 12.9000,364,0,6660,6475,14.7986,
2006-07-10,,OMO,July-10-2006,OMO/S/102/2006/182,683,January-08-2007,Sales,500,11.9,11.9,Issue,NTB,11.9,182,0,500,500,12.6485,
2006-07-10,,OMO,July-10-2006,OMO/S/102/2006/364,684,July-09-2007,Sales,1135,12.8000 - 12.9000,12.9,Issue,NTB,12.8000 - 12.9000,364,0,1135,1135,14.7986,
2006-07-11,,OMO,July-11-2006,OMO/S/103/2006/182,685,January-09-2007,Sales,6500,11.5000 - 11.9000,11.5,Issue,NTB,11.5,182,0,6500,1500,12.1975,
2006-07-11,,OMO,July-11-2006,OMO/S/103/2006/364,686,July-10-2007,Sales,7515,12.7500 - 12.9000,12.79,Issue,NTB,12.7500 - 12.7900,364,0,7515,6555,14.654,
2006-07-12,,OMO,July-12-2006,OMO/S/104/2006/147,687,December-06-2006,Purchases,3500,0,0,Issue,NTB,0,147,3500,0,3500,0,
2006-07-12,,OMO,July-12-2006,OMO/S/104/2006/182,688,January-10-2007,Sales,11000,11.0000% - 11.3500%,11.35,Issue,NTB,11.0000% - 11.3500%,182,0,11000,11000,12.0289,
2006-07-12,,OMO,July-12-2006,OMO/S/104/2006/364,689,July-11-2007,Sales,7130,12.5000% - 12.7780%,12.78,Issue,NTB,12.5000% - 12.7780%,364,7130,7130,7130,14.6383,
2006-07-13,,Primary Market,July-13-2006,13/7/2006,690,October-12-2006,Sales,24.07,6.0000 - 9.0000,7.5,Issue,NTB,6.0000 - 7.5000,91,9975.93,13009.71,10000,7.6425,
2006-07-13,,Primary Market,July-13-2006,12/7/2006,691,January-11-2007,Sales,-9944.65,10.0000 - 12.0000,10.9,Issue,NTB,10.0000 - 10.9000,182,19944.65,27629.01,10000,11.5247,
2006-07-13,,OMO,July-13-2006,OMO/S/105/2006/364,692,July-12-2007,Sales,1000,12.2500 - 12.7500,12.75,Issue,NTB,12.2500 - 12.7500,364,0,1000,1000,14.6015,
2006-07-14,,OMO,July-14-2006,OMO/S/106/2006/182,693,January-12-2007,Sales,4000,11.3500%,11.35,Issue,NTB,11.3500%,182,7750,4000,4000,12.0289,
2006-07-14,,OMO,July-14-2006,OMO/S/106/2006/364,694,July-13-2007,Sales,11683.67,12.7000% - 12.7470%,12.75,Issue,NTB,12.7000% - 12.7470%,364,11683.67,11683.67,11684,14.5976,
2006-07-17,,OMO,July-17-2006,OMO/S/107/2006/147,695,December-11-2006,Purchases,17550,0,0,Issue,NTB,0,147,17550,0,17550,0,
2006-07-17,,OMO,July-17-2006,OMO/S/107/2006/182,696,January-15-2007,Sales,7500,11.1500% - 11.3000%,11.3,Issue,NTB,11.1500% - 11.3000%,182,0,7500,7500,11.9728,
2006-07-17,,OMO,July-17-2006,OMO/S/107/2006/364,697,July-16-2007,Sales,10645,12.5000% - 12.6500%,12.65,Issue,NTB,12.5000% - 12.6500%,364,0,10645,10645,14.4705,
2006-07-18,,OMO,July-18-2006,OMO/S/108/2006/364,698,July-17-2007,Sales,4340,12.5000%,12.5,Issue,NTB,12.5000%,364,0,4340,4340,14.2746,
2006-07-19,,Primary Market,July-19-2006,19-07-2006,699,January-17-2007,Sales,-6308.66,9.5000% - 12.4900%,10,Issue,NTB,9.5000% - 10.0000%,182,16308.66,24908.08,10000,10.5233,
2006-07-20,,OMO,July-20-2006,OMO/S/110/2006/56,700,September-14-2006,Purchases,1500,0,0,Issue,NTB,0,56,1500,0,1500,0,
2006-07-20,,Primary Market,July-20-2006,20-07-2006,701,October-19-2006,Sales,22.63,5.0000%- 7.2500%,7.25,Issue,NTB,5.0000% - 7.2500%,91,9977.37,10067.74,10000,7.3831,
2006-07-21,,OMO,July-21-2006,OMO/S/111/2006/56,702,September-15-2006,Sales,2000,5.5000%,5.5,Issue,NTB,5.5000%,56,0,2000,2000,5.5467,
2006-07-21,,OMO,July-21-2006,OMO/S/111/2006/182,703,January-19-2007,Sales,11500,10.2500% - 11.0000%,10.5,Issue,NTB,10.2500% - 10.5000%,182,0,21500,11500,11.0784,
2006-07-21,,OMO,July-21-2006,OMO/S/111/2006/364,704,July-20-2007,Sales,15885,11.8500% - 13.4900%,12,Issue,NTB,11.8500% - 12.0000%,364,0,22385,15885,13.6262,
2006-07-24,,OMO,July-24-2006,OMO/S/112/2006/56,705,September-18-2006,Sales,2000,5.5,5.5,Issue,NTB,5.5,56,0,2000,2000,5.5467,
2006-07-24,,OMO,July-24-2006,OMO/S/112/2006/182,706,January-22-2007,Sales,14000,10.0000% - 10.6500%,10.35,Issue,NTB,10.0000% - 10.3500%,182,0,15100,14000,10.9116,
2006-07-24,,OMO,July-24-2006,OMO/S/112/2006/364,707,July-23-2007,Sales,10000,11.0100% - 14.0000%,12,Issue,NTB,11.0100% - 11.9990%,364,0,14000,10000,13.6249,
2006-07-25,,OMO,July-25-2006,OMO/S/113/2006/364,708,July-24-2007,Sales,0,11.7400% - 12.6000%,0,Issue,NTB,0,364,0,7581.9,0,0,
2006-07-26,15000,Primary Market,July-26-2006,26/7/2006,709,January-24-2007,Sales,573.13,8.0000% - 10.5000%,9.5,Issue,NTB,8.0000% - 9.5000%,182,11302.18,18375.31,11875,9.971,
2006-07-28,,OMO,July-28-2006,OMO/S/115/2006/56,710,September-22-2006,Purchases,0,5.5000%,0,Issue,NTB,0,56,0,1000,0,0,
2006-07-28,10000,Primary Market,July-28-2006,27/7/2006,711,October-27-2006,Sales,17.78,5.2500% - 7.0000%,7,Issue,NTB,5.2500% - 7.0000%,91,9982.22,10236.05,10000,7.124,
2006-07-28,,OMO,July-28-2006,OMO/S/115/2006/182,712,January-26-2007,Purchases,0,9.7500% - 9.9000%,0,Issue,NTB,0,182,0,2000,0,0,
